lexeme_id,POS,label,meaning,language_id
no_stem,pronoun,,,mizo
ei,verb,éi,eat,mizo
kal,verb,kál,go,mizo
mu,verb,m̥ù,see,mizo
tʰo:,verb,"tʰò:, tʰò",breathe,mizo
