form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
mizo147,ei,3.pl.2.pl.fut.neg,àn éi lòu àŋ tsé ú,àn Σ lòu àŋ tsé ú,à+n+Σ+lòu+àŋ+tsé+ú,a ¹ n Σ l ou ¹ a ¹ ŋ ts e ⁵ u ⁵,a ¹ + n + Σ + l ou ¹ + a ¹ ŋ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo148,mu,3.pl.2.pl.fut.neg,ǎn m̥ù lòu àŋ tsé ú,ǎn Σ lòu àŋ tsé ú,ǎ+n+Σ+lòu+àŋ+tsé+ú,a ¹⁵ n Σ l ou ¹ a ¹ ŋ ts e ⁵ u ⁵,a ¹⁵ + n + Σ + l ou ¹ + a ¹ ŋ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo149,ei,3.sg.3.sg.fut.neg,à éi lòu ǎŋ,à Σ lòu ǎŋ,à+Σ+lòu+ǎŋ,a ¹ Σ l ou ¹ a ¹⁵ ŋ,a ¹ + Σ + l ou ¹ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo150,mu,3.sg.3.sg.fut.neg,á m̥ù lòu ǎŋ,á Σ lòu ǎŋ,á+Σ+lòu+ǎŋ,a ⁵ Σ l ou ¹ a ¹⁵ ŋ,a ⁵ + Σ + l ou ¹ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo151,ei,3.sg.3.pl.fut.neg,à éi lòu ǎŋ,à Σ lòu ǎŋ,à+Σ+lòu+ǎŋ,a ¹ Σ l ou ¹ a ¹⁵ ŋ,a ¹ + Σ + l ou ¹ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo152,mu,3.sg.3.pl.fut.neg,á m̥ù lòu ǎŋ,á Σ lòu ǎŋ,á+Σ+lòu+ǎŋ,a ⁵ Σ l ou ¹ a ¹⁵ ŋ,a ⁵ + Σ + l ou ¹ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo153,ei,3.pl.3.sg.fut.neg,àn éi lòu ǎŋ,àn Σ lòu ǎŋ,à+n+Σ+lòu+ǎŋ,a ¹ n Σ l ou ¹ a ¹⁵ ŋ,a ¹ + n + Σ + l ou ¹ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo154,mu,3.pl.3.sg.fut.neg,ǎn m̥ù lòu ǎŋ,ǎn Σ lòu ǎŋ,ǎ+n+Σ+lòu+ǎŋ,a ¹⁵ n Σ l ou ¹ a ¹⁵ ŋ,a ¹⁵ + n + Σ + l ou ¹ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo155,ei,3.pl.3.pl.fut.neg,àn éi lòu ǎŋ,àn Σ lòu ǎŋ,à+n+Σ+lòu+ǎŋ,a ¹ n Σ l ou ¹ a ¹⁵ ŋ,a ¹ + n + Σ + l ou ¹ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo156,mu,3.pl.3.pl.fut.neg,ǎn m̥ù lòu ǎŋ,ǎn Σ lòu ǎŋ,ǎ+n+Σ+lòu+ǎŋ,a ¹⁵ n Σ l ou ¹ a ¹⁵ ŋ,a ¹⁵ + n + Σ + l ou ¹ + a ¹⁵ ŋ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo157,kal,1.sg.nfut.aff,kà kál,kà Σ,kà+Σ,k a ¹ Σ,k a ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo158,tʰo:,1.sg.nfut.aff,ká tʰò:,ká Σ,ká+Σ,k a ⁵ Σ,k a ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo159,kal,1.pl.nfut.aff,kàn kál,kàn Σ,kà+n+Σ,k a ¹ n Σ,k a ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo160,tʰo:,1.pl.nfut.aff,kǎn tʰò:,kǎn Σ,kǎ+n+Σ,k a ¹⁵ n Σ,k a ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo161,ei,1.sg.2.sg.nfut.aff,kà éi tsé,kà Σ tsé,kà+Σ+tsé,k a ¹ Σ ts e ⁵,k a ¹ + Σ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo162,mu,1.sg.2.sg.nfut.aff,ká m̥ù tsé,ká Σ tsé,ká+Σ+tsé,k a ⁵ Σ ts e ⁵,k a ⁵ + Σ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo163,ei,1.sg.2.pl.nfut.aff,kà éi tsé ú,kà Σ tsé ú,kà+Σ+tsé+ú,k a ¹ Σ ts e ⁵ u ⁵,k a ¹ + Σ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo164,mu,1.sg.2.pl.nfut.aff,ká m̥ù tsé ú,ká Σ tsé ú,ká+Σ+tsé+ú,k a ⁵ Σ ts e ⁵ u ⁵,k a ⁵ + Σ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo165,ei,1.pl.2.sg.nfut.aff,kàn éi tsé,kàn Σ tsé,kà+n+Σ+tsé,k a ¹ n Σ ts e ⁵,k a ¹ + n + Σ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo166,mu,1.pl.2.sg.nfut.aff,kǎn m̥ù tsé,kǎn Σ tsé,kǎ+n+Σ+tsé,k a ¹⁵ n Σ ts e ⁵,k a ¹⁵ + n + Σ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo167,ei,1.pl.2.pl.nfut.aff,kàn éi tsé ú,kàn Σ tsé ú,kà+n+Σ+tsé+ú,k a ¹ n Σ ts e ⁵ u ⁵,k a ¹ + n + Σ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo168,mu,1.pl.2.pl.nfut.aff,kǎn m̥ù tsé ú,kǎn Σ tsé ú,kǎ+n+Σ+tsé+ú,k a ¹⁵ n Σ ts e ⁵ u ⁵,k a ¹⁵ + n + Σ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo169,ei,1.sg.3.sg.nfut.aff,kà éi,kà Σ,kà+Σ,k a ¹ Σ,k a ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo170,mu,1.sg.3.sg.nfut.aff,ká m̥ù,ká Σ,ká+Σ,k a ⁵ Σ,k a ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
